frame_id,point_index,yaw_deg,pitch_deg,distance_mm,x_mm,y_mm,z_mm
1,0,0.00,-30.30,190,164.05,0.00,-95.86
1,1,0.00,-29.40,221,192.54,0.00,-108.49
1,2,0.00,-28.50,225,197.73,0.00,-107.36
1,3,0.00,-27.60,228,202.05,0.00,-105.63
1,4,0.00,-26.70,247,220.66,0.00,-110.98
1,5,0.00,-25.80,256,230.48,0.00,-111.42
1,6,0.00,-24.90,268,243.09,0.00,-112.84
1,7,0.00,-24.00,280,255.79,0.00,-113.89
1,8,0.00,-23.10,282,259.39,0.00,-110.64
1,9,0.00,-22.20,298,275.91,0.00,-112.60
1,10,0.00,-21.30,301,280.44,0.00,-109.34
1,11,0.00,-20.40,305,285.87,0.00,-106.31
1,12,0.00,-19.50,322,303.53,0.00,-107.49
1,13,0.00,-18.60,334,316.55,0.00,-106.53
1,14,0.00,-17.70,338,322.00,0.00,-102.76
1,15,0.00,-16.80,360,344.64,0.00,-104.05
1,16,0.00,-15.90,369,354.88,0.00,-101.09
1,17,0.00,-15.00,379,366.09,0.00,-98.09
1,18,1.05,-30.30,191,164.88,3.02,-96.36
1,19,1.05,-29.40,218,189.89,3.48,-107.02
1,20,1.05,-28.50,219,192.43,3.53,-104.50
1,21,1.05,-27.60,244,216.20,3.96,-113.04
1,22,1.05,-26.70,245,218.84,4.01,-110.08
1,23,1.05,-25.80,249,224.14,4.11,-108.37
1,24,1.05,-24.90,267,242.14,4.44,-112.42
1,25,1.05,-24.00,272,248.44,4.55,-110.63
1,26,1.05,-23.10,280,257.51,4.72,-109.85
1,27,1.05,-22.20,297,274.94,5.04,-112.22
1,28,1.05,-21.30,299,278.53,5.10,-108.61
1,29,1.05,-20.40,317,297.07,5.44,-110.50
1,30,1.05,-19.50,321,302.54,5.54,-107.15
1,31,1.05,-18.60,325,307.97,5.64,-103.66
1,32,1.05,-17.70,350,333.38,6.11,-106.41
1,33,1.05,-16.80,354,338.83,6.21,-102.32
1,34,1.05,-15.90,358,344.25,6.31,-98.08
1,35,1.05,-15.00,417,402.72,7.38,-107.93
1,36,1.95,-30.30,194,167.40,5.70,-97.88
1,37,1.95,-29.40,219,190.69,6.49,-107.51
1,38,1.95,-28.50,228,200.25,6.82,-108.79
1,39,1.95,-27.60,241,213.45,7.27,-111.65
1,40,1.95,-26.70,245,218.75,7.45,-110.08
1,41,1.95,-25.80,260,233.95,7.97,-113.16
1,42,1.95,-24.90,266,241.13,8.21,-112.00
1,43,1.95,-24.00,268,244.69,8.33,-109.01
1,44,1.95,-23.10,292,268.43,9.14,-114.56
1,45,1.95,-22.20,294,272.05,9.26,-111.09
1,46,1.95,-21.30,299,278.41,9.48,-108.61
1,47,1.95,-20.40,315,295.07,10.05,-109.80
1,48,1.95,-19.50,313,294.88,10.04,-104.48
1,49,1.95,-18.60,336,318.27,10.84,-107.17
1,50,1.95,-17.70,348,331.33,11.28,-105.80
1,51,1.95,-16.80,352,336.78,11.47,-101.74
1,52,1.95,-15.90,384,369.09,12.57,-105.20
1,53,1.95,-15.00,406,391.94,13.34,-105.08
1,54,1.95,-8.70,1874,1851.36,63.03,-283.46
1,55,1.95,-7.80,1848,1829.84,62.30,-250.80
1,56,1.95,-6.90,1760,1746.24,59.45,-211.44
1,57,1.95,-6.00,1736,1725.49,58.75,-181.46
1,58,1.95,-5.10,1659,1651.48,56.23,-147.48
1,59,1.95,-4.20,1614,1608.73,54.77,-118.21
1,60,1.95,-3.30,1594,1590.44,54.15,-91.76
1,61,1.95,-2.40,1549,1546.74,52.66,-64.87
1,62,1.95,-1.50,1507,1505.61,51.26,-39.45
1,63,1.95,-0.60,1470,1469.07,50.02,-15.39
1,64,3.00,-30.30,198,170.72,8.95,-99.90
1,65,3.00,-29.40,199,173.13,9.07,-97.69
1,66,3.00,-28.50,228,200.10,10.49,-108.79
1,67,3.00,-27.60,237,209.74,10.99,-109.80
1,68,3.00,-26.70,241,215.01,11.27,-108.29
1,69,3.00,-25.80,260,233.76,12.25,-113.16
1,70,3.00,-24.90,264,239.13,12.53,-111.15
1,71,3.00,-24.00,267,243.58,12.77,-108.60
1,72,3.00,-23.10,287,263.63,13.82,-112.60
1,73,3.00,-22.20,296,273.68,14.34,-111.84
1,74,3.00,-21.30,308,286.57,15.02,-111.88
1,75,3.00,-20.40,313,292.97,15.35,-109.10
1,76,3.00,-19.50,315,296.53,15.54,-105.15
1,77,3.00,-18.60,335,317.07,16.62,-106.85
1,78,3.00,-17.70,343,326.32,17.10,-104.28
1,79,3.00,-16.80,349,333.65,17.49,-100.87
1,80,3.00,-15.90,390,374.57,19.63,-106.84
1,81,3.00,-15.00,411,396.45,20.78,-106.37
1,82,3.00,-14.10,434,420.35,22.03,-105.73
1,83,3.00,-11.40,1588,1554.54,81.47,-313.88
1,84,3.00,-10.50,1593,1564.18,81.98,-290.30
1,85,3.00,-9.60,1536,1512.41,79.26,-256.16
1,86,3.00,-8.70,1542,1522.17,79.77,-233.25
1,87,3.00,-7.80,1555,1538.50,80.63,-211.04
1,88,3.00,-6.90,1506,1493.04,78.25,-180.93
1,89,3.00,-6.00,1487,1476.83,77.40,-155.43
1,90,3.00,-5.10,1469,1461.18,76.58,-130.59
1,91,3.00,-4.20,1446,1440.14,75.47,-105.90
1,92,3.00,-3.30,1445,1440.63,75.50,-83.18
1,93,3.00,-2.40,1457,1453.73,76.19,-61.01
1,94,3.00,-1.50,1473,1470.48,77.06,-38.56
1,95,3.00,-0.60,1496,1493.87,78.29,-15.67
1,96,4.05,-30.30,196,168.80,11.95,-98.89
1,97,4.05,-29.40,223,193.80,13.72,-109.47
1,98,4.05,-28.50,225,197.24,13.97,-107.36
1,99,4.05,-27.60,240,212.16,15.02,-111.19
1,100,4.05,-26.70,245,218.33,15.46,-110.08
1,101,4.05,-25.80,249,223.62,15.83,-108.37
1,102,4.05,-24.90,269,243.39,17.23,-113.26
1,103,4.05,-24.00,275,250.60,17.74,-111.85
1,104,4.05,-23.10,292,267.92,18.97,-114.56
1,105,4.05,-22.20,300,277.07,19.62,-113.35
1,106,4.05,-21.30,300,278.81,19.74,-108.98
1,107,4.05,-20.40,314,293.57,20.79,-109.45
1,108,4.05,-19.50,323,303.71,21.50,-107.82
1,109,4.05,-18.60,333,314.82,22.29,-106.21
1,110,4.05,-17.70,363,344.95,24.42,-110.36
1,111,4.05,-16.80,374,357.14,25.29,-108.10
1,112,4.05,-15.90,383,367.43,26.02,-104.93
1,113,4.05,-15.00,470,452.85,32.06,-121.65
1,114,4.05,-12.30,1396,1360.55,96.33,-297.39
1,115,4.05,-11.40,1443,1411.00,99.90,-285.22
1,116,4.05,-10.50,1435,1407.45,99.65,-261.51
1,117,4.05,-9.60,1426,1402.52,99.30,-237.81
1,118,4.05,-8.70,1406,1386.35,98.16,-212.67
1,119,4.05,-7.80,1389,1372.71,97.19,-188.51
1,120,4.05,-6.90,1376,1362.62,96.48,-165.31
1,121,4.05,-6.00,1335,1324.37,93.77,-139.55
1,122,4.05,-5.10,1320,1311.49,92.86,-117.34
1,123,4.05,-4.20,1283,1276.36,90.37,-93.97
1,124,4.05,-3.30,1266,1260.74,89.27,-72.88
1,125,4.05,-2.40,1255,1250.77,88.56,-52.55
1,126,4.05,-1.50,1250,1246.45,88.25,-32.72
1,127,4.05,-0.60,1236,1232.85,87.29,-12.94
1,128,4.95,-30.30,211,181.50,15.72,-106.46
1,129,4.95,-29.40,225,195.29,16.91,-110.45
1,130,4.95,-28.50,229,200.50,17.37,-109.27
1,131,4.95,-27.60,232,204.83,17.74,-107.48
1,132,4.95,-26.70,248,220.73,19.12,-111.43
1,133,4.95,-25.80,253,226.93,19.65,-110.11
1,134,4.95,-24.90,261,235.86,20.43,-109.89
1,135,4.95,-24.00,282,256.66,22.23,-114.70
1,136,4.95,-23.10,288,263.92,22.86,-112.99
1,137,4.95,-22.20,294,271.19,23.49,-111.09
1,138,4.95,-21.30,318,295.17,25.56,-115.51
1,139,4.95,-20.40,325,303.48,26.28,-113.29
1,140,4.95,-19.50,334,313.67,27.17,-111.49
1,141,4.95,-18.60,392,370.14,32.06,-125.03
1,142,4.95,-17.70,419,397.68,34.44,-127.39
1,143,4.95,-16.80,429,409.16,35.44,-123.99
1,144,4.95,-15.90,546,523.15,45.31,-149.58
1,145,4.95,-14.10,637,615.50,53.31,-155.18
1,146,4.95,-13.20,123,119.30,10.33,-28.09
1,147,4.95,-12.30,101,98.31,8.51,-21.52
1,148,4.95,-11.40,76,74.22,6.43,-15.02
1,149,4.95,-10.50,59,57.80,5.01,-10.75
1,150,4.95,-9.60,58,56.97,4.93,-9.67
1,151,4.95,-8.70,37,36.44,3.16,-5.60
1,152,4.95,-7.80,17,16.78,1.45,-2.31
1,153,4.95,-6.90,7,6.92,0.60,-0.84
1,154,4.95,-6.00,2,1.98,0.17,-0.21
1,155,4.95,-5.10,0,0.00,0.00,0.00
1,156,4.95,-4.20,2,1.99,0.17,-0.15
1,157,4.95,-3.30,0,0.00,0.00,0.00
1,158,4.95,-2.40,2,1.99,0.17,-0.08
1,159,4.95,-1.50,2,1.99,0.17,-0.05
1,160,4.95,-0.60,0,0.00,0.00,0.00
1,161,6.00,-30.30,1,0.86,0.09,-0.50
1,162,6.00,-29.40,3,2.60,0.27,-1.47
1,163,6.00,-28.50,1,0.87,0.09,-0.48
1,164,6.00,-27.60,1,0.88,0.09,-0.46
1,165,6.00,-26.70,6,5.33,0.56,-2.70
1,166,6.00,-25.80,3,2.69,0.28,-1.31
1,167,6.00,-24.90,1,0.90,0.09,-0.42
1,168,6.00,-24.00,0,0.00,0.00,0.00
1,169,6.00,-23.10,0,0.00,0.00,0.00
1,170,6.00,-22.20,0,0.00,0.00,0.00
1,171,6.00,-21.30,2,1.85,0.19,-0.73
1,172,6.00,-20.40,1,0.93,0.10,-0.35
1,173,6.00,-19.50,3,2.81,0.30,-1.00
1,174,6.00,-18.60,2,1.89,0.20,-0.64
1,175,6.00,-17.70,0,0.00,0.00,0.00
1,176,6.00,-16.80,3,2.86,0.30,-0.87
1,177,6.00,-15.90,3,2.87,0.30,-0.82
1,178,6.00,-15.00,2,1.92,0.20,-0.52
1,179,6.00,-14.10,4,3.86,0.41,-0.97
1,180,6.00,-13.20,2,1.94,0.20,-0.46
1,181,6.00,-12.30,4,3.89,0.41,-0.85
1,182,6.00,-11.40,2,1.95,0.20,-0.40
1,183,6.00,-10.50,2,1.96,0.21,-0.36
1,184,6.00,-9.60,1,0.98,0.10,-0.17
1,185,6.00,-8.70,1,0.98,0.10,-0.15
1,186,6.00,-7.80,2,1.97,0.21,-0.27
1,187,6.00,-6.90,1,0.99,0.10,-0.12
1,188,6.00,-6.00,1,0.99,0.10,-0.10
1,189,6.00,-5.10,0,0.00,0.00,0.00
1,190,6.00,-4.20,2,1.98,0.21,-0.15
1,191,6.00,-3.30,9,8.94,0.94,-0.52
1,192,6.00,-2.40,8,7.95,0.84,-0.34
1,193,6.00,-1.50,12,11.93,1.25,-0.31
1,194,6.00,-0.60,10,9.94,1.05,-0.10
1,195,7.05,-30.30,27,23.14,2.86,-13.62
1,196,7.05,-29.40,0,0.00,0.00,0.00
1,197,7.05,-28.50,8,6.98,0.86,-3.82
1,198,7.05,-27.60,4,3.52,0.44,-1.85
1,199,7.05,-26.70,3,2.66,0.33,-1.35
1,200,7.05,-25.80,5,4.47,0.55,-2.18
1,201,7.05,-24.90,3,2.70,0.33,-1.26
1,202,7.05,-24.00,2,1.81,0.22,-0.81
1,203,7.05,-23.10,2,1.83,0.23,-0.78
1,204,7.05,-22.20,2,1.84,0.23,-0.76
1,205,7.05,-21.30,4,3.70,0.46,-1.45
1,206,7.05,-20.40,6,5.58,0.69,-2.09
1,207,7.05,-19.50,7,6.55,0.81,-2.34
1,208,7.05,-18.60,6,5.64,0.70,-1.91
1,209,7.05,-17.70,4,3.78,0.47,-1.22
1,210,7.05,-16.80,4,3.80,0.47,-1.16
1,211,7.05,-15.90,5,4.77,0.59,-1.37
1,212,7.05,-13.20,919,887.95,109.81,-209.86
1,213,7.05,-12.30,1082,1049.17,129.75,-230.50
1,214,7.05,-11.40,1031,1003.02,124.04,-203.79
1,215,7.05,-10.50,466,454.73,56.24,-84.92
1,216,7.05,-9.60,376,367.93,45.50,-62.71
