frame_id,point_index,yaw_deg,pitch_deg,distance_mm,x_mm,y_mm,z_mm
3,0,0.00,-30.30,191,164.91,0.00,-96.36
3,1,0.00,-29.40,218,189.92,0.00,-107.02
3,2,0.00,-28.50,221,194.22,0.00,-105.45
3,3,0.00,-27.60,227,201.17,0.00,-105.17
3,4,0.00,-26.70,248,221.56,0.00,-111.43
3,5,0.00,-25.80,255,229.58,0.00,-110.98
3,6,0.00,-24.90,262,237.65,0.00,-110.31
3,7,0.00,-24.00,266,243.00,0.00,-108.19
3,8,0.00,-23.10,277,254.79,0.00,-108.68
3,9,0.00,-22.20,294,272.21,0.00,-111.09
3,10,0.00,-21.30,298,277.64,0.00,-108.25
3,11,0.00,-20.40,305,285.87,0.00,-106.31
3,12,0.00,-19.50,310,292.22,0.00,-103.48
3,13,0.00,-18.60,329,311.82,0.00,-104.94
3,14,0.00,-17.70,344,327.72,0.00,-104.59
3,15,0.00,-16.80,351,336.02,0.00,-101.45
3,16,0.00,-15.90,360,346.23,0.00,-98.63
3,17,0.00,-15.00,374,361.26,0.00,-96.80
3,18,1.05,-30.30,192,165.74,3.04,-96.87
3,19,1.05,-29.40,224,195.12,3.58,-109.96
3,20,1.05,-28.50,226,198.58,3.64,-107.84
3,21,1.05,-27.60,230,203.79,3.74,-106.56
3,22,1.05,-26.70,248,221.52,4.06,-111.43
3,23,1.05,-25.80,254,228.64,4.19,-110.55
3,24,1.05,-24.90,261,236.70,4.34,-109.89
3,25,1.05,-24.00,271,247.53,4.54,-110.23
3,26,1.05,-23.10,276,253.83,4.65,-108.29
3,27,1.05,-22.20,294,272.16,4.99,-111.09
3,28,1.05,-21.30,301,280.39,5.14,-109.34
3,29,1.05,-20.40,305,285.82,5.24,-106.31
3,30,1.05,-19.50,314,295.94,5.42,-104.82
3,31,1.05,-18.60,330,312.71,5.73,-105.26
3,32,1.05,-17.70,346,329.57,6.04,-105.20
3,33,1.05,-16.80,349,334.05,6.12,-100.87
3,34,1.05,-15.90,362,348.09,6.38,-99.17
3,35,1.05,-15.00,375,362.16,6.64,-97.06
3,36,1.95,-30.30,193,166.54,5.67,-97.37
3,37,1.95,-29.40,220,191.56,6.52,-108.00
3,38,1.95,-28.50,228,200.25,6.82,-108.79
3,39,1.95,-27.60,233,206.37,7.03,-107.95
3,40,1.95,-26.70,237,211.61,7.20,-106.49
3,41,1.95,-25.80,257,231.25,7.87,-111.85
3,42,1.95,-24.90,265,240.23,8.18,-111.57
3,43,1.95,-24.00,273,249.25,8.49,-111.04
3,44,1.95,-23.10,279,256.48,8.73,-109.46
3,45,1.95,-22.20,289,267.42,9.10,-109.20
3,46,1.95,-21.30,307,285.86,9.73,-111.52
3,47,1.95,-20.40,308,288.52,9.82,-107.36
3,48,1.95,-19.50,316,297.70,10.14,-105.48
3,49,1.95,-18.60,324,306.90,10.45,-103.34
3,50,1.95,-17.70,346,329.43,11.22,-105.20
3,51,1.95,-16.80,355,339.65,11.56,-102.61
3,52,1.95,-15.90,365,350.83,11.94,-100.00
3,53,1.95,-15.00,383,369.74,12.59,-99.13
3,54,1.95,-14.10,408,395.48,13.46,-99.40
3,55,1.95,-4.20,1045,1041.59,35.46,-76.53
3,56,1.95,-3.30,973,970.82,33.05,-56.01
3,57,1.95,-2.40,886,884.71,30.12,-37.10
3,58,1.95,-1.50,822,821.24,27.96,-21.52
3,59,1.95,-0.60,745,744.53,25.35,-7.80
3,60,3.00,-30.30,196,168.99,8.86,-98.89
3,61,3.00,-29.40,219,190.53,9.99,-107.51
3,62,3.00,-28.50,223,195.71,10.26,-106.41
3,63,3.00,-27.60,239,211.51,11.08,-110.73
3,64,3.00,-26.70,246,219.47,11.50,-110.53
3,65,3.00,-25.80,254,228.37,11.97,-110.55
3,66,3.00,-24.90,259,234.60,12.29,-109.05
3,67,3.00,-24.00,264,240.85,12.62,-107.38
3,68,3.00,-23.10,287,263.63,13.82,-112.60
3,69,3.00,-22.20,296,273.68,14.34,-111.84
3,70,3.00,-21.30,296,275.40,14.43,-107.52
3,71,3.00,-20.40,302,282.67,14.81,-105.27
3,72,3.00,-19.50,325,305.94,16.03,-108.49
3,73,3.00,-18.60,334,316.12,16.57,-106.53
3,74,3.00,-17.70,337,320.61,16.80,-102.46
3,75,3.00,-16.80,347,331.73,17.39,-100.29
3,76,3.00,-15.90,362,347.67,18.22,-99.17
3,77,3.00,-15.00,405,390.66,20.47,-104.82
3,78,3.00,-14.10,454,439.72,23.04,-110.60
3,79,4.05,-30.30,195,167.94,11.89,-98.38
3,80,4.05,-29.40,221,192.06,13.60,-108.49
3,81,4.05,-28.50,226,198.12,14.03,-107.84
3,82,4.05,-27.60,232,205.09,14.52,-107.48
3,83,4.05,-26.70,245,218.33,15.46,-110.08
3,84,4.05,-25.80,256,229.91,16.28,-111.42
3,85,4.05,-24.90,263,237.96,16.85,-110.73
3,86,4.05,-24.00,271,246.95,17.49,-110.23
3,87,4.05,-23.10,288,264.25,18.71,-112.99
3,88,4.05,-22.20,301,277.99,19.68,-113.73
3,89,4.05,-21.30,301,279.74,19.81,-109.34
3,90,4.05,-20.40,309,288.90,20.45,-107.71
3,91,4.05,-19.50,312,293.37,20.77,-104.15
3,92,4.05,-18.60,339,320.49,22.69,-108.13
3,93,4.05,-17.70,346,328.80,23.28,-105.20
3,94,4.05,-16.80,355,339.00,24.00,-102.61
3,95,4.05,-15.90,368,353.04,25.00,-100.82
3,96,4.05,-15.00,438,422.02,29.88,-113.36
3,97,4.05,-2.40,681,678.70,48.05,-28.52
3,98,4.95,-30.30,194,166.87,14.45,-97.88
3,99,4.95,-29.40,226,196.16,16.99,-110.94
3,100,4.95,-28.50,230,201.37,17.44,-109.75
3,101,4.95,-27.60,236,208.36,18.05,-109.34
3,102,4.95,-26.70,241,214.50,18.58,-108.29
3,103,4.95,-25.80,256,229.62,19.89,-111.42
3,104,4.95,-24.90,270,243.99,21.13,-113.68
3,105,4.95,-24.00,277,252.11,21.83,-112.67
3,106,4.95,-23.10,282,258.42,22.38,-110.64
3,107,4.95,-22.20,291,268.42,23.25,-109.95
3,108,4.95,-21.30,306,284.03,24.60,-111.16
3,109,4.95,-20.40,311,290.41,25.15,-108.41
3,110,4.95,-19.50,317,297.70,25.78,-105.82
3,111,4.95,-18.60,323,304.99,26.41,-103.02
3,112,4.95,-17.70,351,333.14,28.85,-106.72
3,113,4.95,-16.80,372,354.79,30.73,-107.52
3,114,4.95,-15.90,383,366.97,31.78,-104.93
3,115,4.95,-15.00,409,393.59,34.09,-105.86
3,116,4.95,-14.10,442,427.08,36.99,-107.68
3,117,4.95,-6.00,656,649.97,56.29,-68.57
3,118,4.95,-5.10,655,649.97,56.29,-58.23
3,119,4.95,-4.20,674,669.68,58.00,-49.36
3,120,4.95,-3.30,677,673.36,58.32,-38.97
3,121,4.95,-2.40,680,676.87,58.62,-28.48
3,122,4.95,-1.50,703,700.14,60.64,-18.40
3,123,4.95,-0.60,711,708.31,61.35,-7.45
3,124,6.00,-30.30,211,181.18,19.04,-106.46
