frame_id,point_index,yaw_deg,pitch_deg,distance_mm,x_mm,y_mm,z_mm
1,0,0.00,-30.30,181,156.27,0.00,-91.32
1,1,0.00,-29.40,208,181.21,0.00,-102.11
1,2,0.00,-28.50,217,190.70,0.00,-103.54
1,3,0.00,-27.60,213,188.76,0.00,-98.68
1,4,0.00,-26.70,194,173.31,0.00,-87.17
1,5,0.00,-25.80,197,177.36,0.00,-85.74
1,6,0.00,-24.90,197,178.69,0.00,-82.94
1,7,0.00,-24.00,204,186.36,0.00,-82.97
1,8,0.00,-23.10,226,207.88,0.00,-88.67
1,9,0.00,-22.20,223,206.47,0.00,-84.26
1,10,0.00,-21.30,204,190.07,0.00,-74.10
1,11,0.00,-20.40,299,280.25,0.00,-104.22
1,12,0.00,-19.50,299,281.85,0.00,-99.81
1,13,0.00,-18.60,321,304.23,0.00,-102.39
1,14,0.00,-17.70,331,315.33,0.00,-100.63
1,15,0.00,-16.80,337,322.62,0.00,-97.40
1,16,0.00,-15.90,364,350.07,0.00,-99.72
1,17,0.00,-15.00,383,369.95,0.00,-99.13
1,18,0.00,-14.10,394,382.13,0.00,-95.98
1,19,0.00,-13.20,455,442.98,0.00,-103.90
1,20,0.00,-12.30,458,447.49,0.00,-97.57
1,21,0.00,-11.40,457,447.98,0.00,-90.33
1,22,0.00,-10.50,608,597.82,0.00,-110.80
1,23,0.00,-9.60,639,630.05,0.00,-106.57
1,24,0.00,-8.70,701,692.93,0.00,-106.03
1,25,0.00,-7.80,709,702.44,0.00,-96.22
1,26,0.00,-6.90,704,698.90,0.00,-84.58
1,27,0.00,-6.00,697,693.18,0.00,-72.86
1,28,0.00,-5.10,695,692.25,0.00,-61.78
1,29,0.00,-4.20,698,696.13,0.00,-51.12
1,30,0.00,-3.30,703,701.83,0.00,-40.47
1,31,0.00,-2.40,705,704.38,0.00,-29.52
1,32,0.00,-1.50,713,712.76,0.00,-18.66
1,33,0.00,-0.60,722,721.96,0.00,-7.56
1,34,1.05,-30.30,192,165.74,3.04,-96.87
1,35,1.05,-29.40,214,186.41,3.42,-105.05
1,36,1.05,-28.50,215,188.91,3.46,-102.59
1,37,1.05,-27.60,221,195.82,3.59,-102.39
1,38,1.05,-26.70,231,206.33,3.78,-103.79
1,39,1.05,-25.80,231,207.94,3.81,-100.54
