frame_id,point_index,yaw_deg,pitch_deg,distance_mm,x_mm,y_mm,z_mm
2,0,0.00,-30.30,191,164.91,0.00,-96.36
2,1,0.00,-29.40,216,188.18,0.00,-106.04
2,2,0.00,-28.50,222,195.10,0.00,-105.93
2,3,0.00,-27.60,227,201.17,0.00,-105.17
2,4,0.00,-26.70,248,221.56,0.00,-111.43
2,5,0.00,-25.80,251,225.98,0.00,-109.24
2,6,0.00,-24.90,259,234.92,0.00,-109.05
2,7,0.00,-24.00,267,243.92,0.00,-108.60
2,8,0.00,-23.10,285,262.15,0.00,-111.82
2,9,0.00,-22.20,294,272.21,0.00,-111.09
2,10,0.00,-21.30,296,275.78,0.00,-107.52
2,11,0.00,-20.40,305,285.87,0.00,-106.31
2,12,0.00,-19.50,309,291.28,0.00,-103.15
2,13,0.00,-18.60,331,313.71,0.00,-105.58
2,14,0.00,-17.70,337,321.05,0.00,-102.46
2,15,0.00,-16.80,345,330.28,0.00,-99.72
2,16,0.00,-15.90,354,340.46,0.00,-96.98
2,17,0.00,-15.00,410,396.03,0.00,-106.12
2,18,1.05,-30.30,209,180.42,3.31,-105.45
2,19,1.05,-29.40,219,190.76,3.50,-107.51
2,20,1.05,-28.50,225,197.70,3.62,-107.36
2,21,1.05,-27.60,233,206.45,3.78,-107.95
2,22,1.05,-26.70,241,215.27,3.95,-108.29
2,23,1.05,-25.80,247,222.34,4.08,-107.50
2,24,1.05,-24.90,267,242.14,4.44,-112.42
2,25,1.05,-24.00,273,249.36,4.57,-111.04
2,26,1.05,-23.10,281,258.43,4.74,-110.25
2,27,1.05,-22.20,288,266.61,4.89,-108.82
2,28,1.05,-21.30,294,273.87,5.02,-106.80
2,29,1.05,-20.40,312,292.38,5.36,-108.75
2,30,1.05,-19.50,317,298.77,5.48,-105.82
2,31,1.05,-18.60,325,307.97,5.64,-103.66
2,32,1.05,-17.70,333,317.18,5.81,-101.24
2,33,1.05,-16.80,346,331.18,6.07,-100.01
2,34,1.05,-15.90,385,370.21,6.79,-105.47
2,35,1.05,-15.00,390,376.65,6.90,-100.94
2,36,1.05,-14.10,431,417.94,7.66,-105.00
