frame_id,point_index,yaw_deg,pitch_deg,distance_mm,x_mm,y_mm,z_mm
1,0,0.00,-30.30,143,123.47,0.00,-72.15
1,1,0.00,-29.40,204,177.73,0.00,-100.14
1,2,0.00,-28.50,210,184.55,0.00,-100.20
1,3,0.00,-27.60,215,190.53,0.00,-99.61
1,4,0.00,-26.70,228,203.69,0.00,-102.44
1,5,0.00,-25.80,234,210.67,0.00,-101.84
1,6,0.00,-24.90,232,210.43,0.00,-97.68
1,7,0.00,-24.00,252,230.21,0.00,-102.50
1,8,0.00,-23.10,257,236.39,0.00,-100.83
1,9,0.00,-22.20,259,239.80,0.00,-97.86
1,10,0.00,-21.30,272,253.42,0.00,-98.80
1,11,0.00,-20.40,277,259.63,0.00,-96.55
1,12,0.00,-19.50,294,277.14,0.00,-98.14
1,13,0.00,-18.60,300,284.33,0.00,-95.69
1,14,0.00,-17.70,303,288.66,0.00,-92.12
1,15,0.00,-16.80,328,314.00,0.00,-94.80
1,16,0.00,-15.90,341,327.95,0.00,-93.42
1,17,0.00,-15.00,350,338.07,0.00,-90.59
1,18,0.00,-14.10,381,369.52,0.00,-92.82
1,19,0.00,-13.20,394,383.59,0.00,-89.97
1,20,0.00,-12.30,397,387.89,0.00,-84.57
1,21,0.00,-10.50,208,204.52,0.00,-37.91
1,22,0.00,-9.60,215,211.99,0.00,-35.86
1,23,0.00,-8.70,339,335.10,0.00,-51.28
1,24,0.00,-7.80,309,306.14,0.00,-41.94
1,25,0.00,-6.90,279,276.98,0.00,-33.52
1,26,0.00,-6.00,250,248.63,0.00,-26.13
1,27,0.00,-5.10,254,252.99,0.00,-22.58
1,28,0.00,-4.20,238,237.36,0.00,-17.43
1,29,0.00,-3.30,0,0.00,0.00,0.00
1,30,0.00,-2.40,34,33.97,0.00,-1.42
1,31,0.00,-1.50,33,32.99,0.00,-0.86
1,32,0.00,-0.60,31,31.00,0.00,-0.32
1,33,1.05,-30.30,91,78.56,1.44,-45.91
1,34,1.05,-29.40,26,22.65,0.42,-12.76
1,35,1.05,-28.50,28,24.60,0.45,-13.36
1,36,1.05,-27.60,24,21.27,0.39,-11.12
1,37,1.05,-26.70,21,18.76,0.34,-9.44
1,38,1.05,-25.80,16,14.40,0.26,-6.96
1,39,1.05,-24.90,17,15.42,0.28,-7.16
1,40,1.05,-24.00,13,11.87,0.22,-5.29
1,41,1.05,-23.10,13,11.96,0.22,-5.10
1,42,1.05,-22.20,10,9.26,0.17,-3.78
1,43,1.05,-21.30,9,8.38,0.15,-3.27
1,44,1.05,-20.40,6,5.62,0.10,-2.09
