frame_id,point_index,yaw_deg,pitch_deg,distance_mm,x_mm,y_mm,z_mm
1,0,0.00,-30.30,80,69.07,0.00,-40.36
1,1,0.00,-29.40,82,71.44,0.00,-40.25
1,2,0.00,-28.50,133,116.88,0.00,-63.46
1,3,0.00,-27.60,153,135.59,0.00,-70.88
1,4,0.00,-26.70,158,141.15,0.00,-70.99
1,5,0.00,-25.80,152,136.85,0.00,-66.16
1,6,0.00,-24.90,156,141.50,0.00,-65.68
1,7,0.00,-24.00,165,150.74,0.00,-67.11
1,8,0.00,-23.10,175,160.97,0.00,-68.66
1,9,0.00,-22.20,172,159.25,0.00,-64.99
1,10,0.00,-21.30,177,164.91,0.00,-64.30
1,11,0.00,-20.40,184,172.46,0.00,-64.14
1,12,0.00,-19.50,188,177.22,0.00,-62.76
1,13,0.00,-18.60,231,218.93,0.00,-73.68
1,14,0.00,-17.70,250,238.17,0.00,-76.01
1,15,0.00,-16.80,280,268.05,0.00,-80.93
1,16,0.00,-15.90,317,304.87,0.00,-86.85
1,17,0.00,-15.00,439,424.04,0.00,-113.62
1,18,0.00,-14.10,511,495.60,0.00,-124.49
1,19,0.00,-13.20,571,555.91,0.00,-130.39
1,20,0.00,-12.30,612,597.95,0.00,-130.37
1,21,0.00,-11.40,647,634.24,0.00,-127.88
1,22,0.00,-10.50,680,668.61,0.00,-123.92
1,23,0.00,-9.60,691,681.32,0.00,-115.24
1,24,0.00,-8.70,701,692.93,0.00,-106.03
1,25,0.00,-7.80,707,700.46,0.00,-95.95
1,26,0.00,-6.90,715,709.82,0.00,-85.90
1,27,0.00,-6.00,744,739.92,0.00,-77.77
1,28,0.00,-5.10,759,756.00,0.00,-67.47
1,29,0.00,-4.20,764,761.95,0.00,-55.95
1,30,0.00,-3.30,782,780.70,0.00,-45.02
1,31,0.00,-2.40,782,781.31,0.00,-32.75
1,32,0.00,-1.50,782,781.73,0.00,-20.47
1,33,0.00,-0.60,775,774.96,0.00,-8.12
1,34,1.05,-30.30,85,73.38,1.34,-42.88
1,35,1.05,-29.40,77,67.07,1.23,-37.80
1,36,1.05,-28.50,134,117.74,2.16,-63.94
1,37,1.05,-27.60,156,138.22,2.53,-72.27
1,38,1.05,-26.70,162,144.70,2.65,-72.79
1,39,1.05,-25.80,154,138.63,2.54,-67.03
1,40,1.05,-24.90,161,146.01,2.68,-67.79
1,41,1.05,-24.00,169,154.36,2.83,-68.74
1,42,1.05,-23.10,175,160.94,2.95,-68.66
1,43,1.05,-22.20,178,164.78,3.02,-67.26
1,44,1.05,-21.30,186,173.27,3.18,-67.56
1,45,1.05,-20.40,189,177.12,3.25,-65.88
1,46,1.05,-19.50,224,211.12,3.87,-74.77
1,47,1.05,-18.60,247,234.06,4.29,-78.78
1,48,1.05,-17.70,283,269.56,4.94,-86.04
1,49,1.05,-15.90,380,365.40,6.70,-104.10
1,50,1.05,-15.00,422,407.55,7.47,-109.22
1,51,1.05,-14.10,456,442.19,8.10,-111.09
1,52,1.05,-13.20,589,573.34,10.51,-134.50
1,53,1.05,-12.30,642,627.16,11.49,-136.77
1,54,1.05,-11.40,654,640.99,11.75,-129.27
1,55,1.05,-10.50,668,656.70,12.04,-121.73
1,56,1.05,-9.60,678,668.39,12.25,-113.07
1,57,1.05,-8.70,708,699.74,12.82,-107.09
1,58,1.05,-7.80,723,716.19,13.13,-98.12
1,59,1.05,-6.90,739,733.52,13.44,-88.78
1,60,1.05,-6.00,746,741.79,13.60,-77.98
1,61,1.05,-5.10,767,763.84,14.00,-68.18
1,62,1.05,-4.20,795,792.73,14.53,-58.22
1,63,1.05,-3.30,803,801.53,14.69,-46.22
1,64,1.05,-2.40,808,807.16,14.79,-33.84
1,65,1.05,-1.50,806,805.59,14.76,-21.10
1,66,1.05,-0.60,809,808.82,14.82,-8.47
1,67,1.95,-30.30,75,64.72,2.20,-37.84
1,68,1.95,-29.40,134,116.68,3.97,-65.78
1,69,1.95,-28.50,145,127.35,4.34,-69.19
1,70,1.95,-27.60,147,130.20,4.43,-68.10
1,71,1.95,-26.70,163,145.54,4.96,-73.24
1,72,1.95,-25.80,160,143.97,4.90,-69.64
1,73,1.95,-24.90,168,152.30,5.19,-70.73
1,74,1.95,-24.00,169,154.30,5.25,-68.74
