frame_id,point_index,yaw_deg,pitch_deg,distance_mm,x_mm,y_mm,z_mm
1,0,0.00,-30.30,193,166.64,0.00,-97.37
1,1,0.00,-29.40,217,189.05,0.00,-106.53
1,2,0.00,-28.50,225,197.73,0.00,-107.36
1,3,0.00,-27.60,229,202.94,0.00,-106.09
1,4,0.00,-26.70,246,219.77,0.00,-110.53
1,5,0.00,-25.80,253,227.78,0.00,-110.11
1,6,0.00,-24.90,265,240.37,0.00,-111.57
1,7,0.00,-24.00,269,245.74,0.00,-109.41
1,8,0.00,-23.10,277,254.79,0.00,-108.68
1,9,0.00,-22.20,299,276.84,0.00,-112.97
1,10,0.00,-21.30,303,282.30,0.00,-110.07
1,11,0.00,-20.40,305,285.87,0.00,-106.31
1,12,0.00,-19.50,313,295.05,0.00,-104.48
1,13,0.00,-18.60,319,302.34,0.00,-101.75
1,14,0.00,-17.70,345,328.67,0.00,-104.89
1,15,0.00,-16.80,351,336.02,0.00,-101.45
1,16,0.00,-15.90,358,344.30,0.00,-98.08
1,17,0.00,-15.00,374,361.26,0.00,-96.80
